id;rue;code_postale;complement;commune
1;Wisconsin bandwidth;1468;installation Cambodia;Movies
2;mobile;61675;communities;Generic HTTP multi-state
3;Vermont;45756;withdrawal;Tasty Money
4;Bike;6315;Manager virtual;Director
5;Berkshire;38365;orchid impactful payment;vortals override Analyst
6;collaborative calculate Summit;4787;Fresh hard;International Avon Albania
7;Aruba Games cross-platform;67261;Unit Lebanon back-end;Verde virtual
8;bypassing circuit compressing;49366;Plastic Games;Investment
9;overriding Account index;51291;Borders Table;bluetooth
10;intuitive Administrator Texas;8758;Human moratorium;index
