id;reference;libelle;composition;unite;prix_unitaire_ht
1;conglomeration Table driver;Assimilated compress Cambridgeshire;XSS logistical Movies;online auxiliary;60931
2;Unions Wooden Enterprise-wide;exuding calculate;Soap Sausages;web-readiness;75223
3;Handmade Cambridgeshire;THX Practical Gloves;Borders sensor Pennsylvania;Indian Steel override;15922
4;Handmade;Field;Sausages Maine e-business;Estates;49939
5;Graphical;indexing Outdoors turquoise;Keyboard Frozen Movies;Persistent;3714
6;Bedfordshire;Concrete;synergistic;Music connect;50030
7;invoice;ability Keyboard Loan;grow target;calculate synthesize;11178
8;invoice deposit national;Texas;Soft azure;XML;47190
9;Ergonomic Computer;Borders deposit;Borders;Bedfordshire;50383
10;Account calculating;Wisconsin deposit;capacitor wireless;Shoes;59802
