id;code_ean;quantite_restante;date_achat;date_de_peremption
1;infomediaries CSS;40418;2022-03-26T12:40:43;2022-03-26T16:59:44
2;Cambridgeshire Falls;77557;2022-03-26T17:36:03;2022-03-26T12:08:15
3;Card;14444;2022-03-26T09:35:44;2022-03-26T06:57:47
4;microchip;49973;2022-03-26T22:30:47;2022-03-26T16:16:02
5;Cotton;90122;2022-03-26T21:38:15;2022-03-26T11:28:06
6;synthesize Mountains Practical;65500;2022-03-26T20:59:49;2022-03-26T16:43:28
7;distributed plug-and-play wireless;56636;2022-03-26T14:51:33;2022-03-26T19:44:52
8;North;1549;2022-03-26T20:22:52;2022-03-26T23:18:26
9;compressing User-centric;3822;2022-03-26T10:30:33;2022-03-26T08:49:12
10;Representative feed software;7690;2022-03-26T10:32:26;2022-03-27T05:28:48
